Common name,Scientific name,Helps,Helped by,Attracts,-Repels/+distracts,Avoid,Comments
Okra,Abelmoschus esculentus,"Sweet potato, tomatoes, peppers","Beans, lettuce, squash, sweet potato, peppers",,,,"Okra and sweet potato are mutually beneficial when planted simultaneously.
"
Onion,Allium cepa,"Beets, beans, brassicas, cabbage, broccoli, carrots, lettuce, cucumbers, peppers, passion fruit, strawberries. Green onions with Chinese cabbage.","Carrots, beets, brassicas, dill, lettuce, strawberries, marigolds,citation needed mints,citation needed tomatoes, summer savory, chamomile, pansy",,,"Lentils, peas,","See Alliums entry for more info
"
Parsnip,Pastinaca sativa,Fruit trees,,A variety of predatory insects,,,"The flowers of the parsnip plant left to seed will attract a variety of predatory insects to the garden, they are particularly helpful when left under fruit trees, the predators attacking codling moth and light brown apple moth. The root also contains Myristricin, which is toxic to fruit flies, house flies, red spider mite, pea aphids, a simple blender made extraction of three blended parsnips roots to one litre of water through a food processor (not one for preparing food) and left overnight, strained and use within a few days.
"
Peas,Pisum sativum,"Brassicas, turnip, cauliflower, garlic,","Turnip, cauliflower, garlic, mints",,Colorado potato beetle,,"Peas when intercropped with turnips, cauliflower, or garlic showed mutual suppression of growth however their profit per land area used was increased.
"
Peppers,"Solanaceae, Capsicum",Okra,"Beans, tomatoes, marjoram,citation needed okra, geraniums, petunias, sunflowers, onions crimson clover, basil, field mustard",,,"Beans, kale (cabbage, Brussels sprouts, etc.)","Pepper plants like high humidity, which can be helped along by planting with some kind of dense-leaf or ground-cover companion, like marjoram and basil; they also need direct sunlight, but their fruit can be harmed by it...pepper plants grown together, or with tomatoes, can shelter the fruit from sunlight, and raises the humidity level. Sunflowers, when in bloom at the right time, sheltered beneficial insects which lowered thrips populations.
"
Potato,Solanum tuberosum,"Brassicas, beans, corn, peas, passion fruit","Horseradish, beans, dead nettle, marigolds, peas, onion, garlic, thyme, clover",,Mexican bean beetle,"Atriplex, carrot, cucumber, pumpkin, raspberries, squash, sunflower, tomato","Horseradish increases the disease resistance of potatoes. It repels the potato bug. Garlic was shown to be more effective than fungicides on late potato blight.65 Peas were shown to reduce the density of Colorado potato beetles.
"
Pumpkin,Cucurbita pepo,"Corn, beans","Buckwheat, Jimson weed, catnip, oregano, tansy, radishes, nasturtiums","spiders, ground beetles",,Potatoes,"Radishes can be used as a trap crop against flea beetles, cucurbita can be used in the three sisters technique. Nasturtiums repel squash bugs.
"
Radish,Raphanus sativus,"Squash eggplant, cucumber, lettuce, peas, beans, pole beans,","Chervil, lettuce, nasturtiums",,"flea beetles, cucumber beetles",Grapes,"Radishes can be used as a trap crop against flea beetles. Radishes grown with lettuce taste better.
"
Soybean,Glycine max,,"Corn, snap beans,citation needed sunflower",,,,"A mixture of corn, mungbean, and sunflower was found to rid soybeans of aphids. Snap beans act as a trap crop for Mexican bean beetles in soybeans.citation needed
"
Spinach,Spinacia oleracea,"Brassicas, cauliflower, passion fruit","Strawberries, peas, beans, cauliflowercitation needed",,,,"The peas and beans provide natural shade for the spinach. See cauliflower notes regarding mutualism with spinach.citation needed
"
Squash,Cucurbita spp.,"corn, beans, okra,","Beans, buckwheat, borage, catnip, tansy, radishes, marigolds, nasturtiums","Spiders, ground beetles",,,"Radishes can be used as a trap crop against flea beetles, cucurbita can be used in the three sisters technique. Marigolds and nasturtiums repel squash bugs. Marigolds repel cucumber beetles.
"
Sweet potato,Ipomoea batatas,Okra,Okra,,,,"Okra and sweet potato are mutually beneficial when planted simultaneously.
"
Tomatoes,Solanum lycopersicum,"Brassicas, broccoli, cabbage, celery, roses, peppers, asparagus","Asparagus, basil, beans, bee balm (Monarda),  oregano, parsley, marigold, alliums, garlic, leeks, celery, geraniums, petunias, nasturtium, borage, coriander, chives, corn, dill, mustard, fenugreek, barley, carrots, eggplant, mints, okra, sage, thyme, ""flower strips""",,Asparagus beetle,"Black walnut, alfalfa, corn, fennel, chili peppers, peas, dill, potatoes, beetroot, brassicas, rosemary","Black walnuts inhibit tomato growth, in fact they are negative allelopathic  to all other nightshade plants (chili pepper, potato, tobacco, petunia) as well, because it produces a chemical called juglone. Dill attracts tomato hornworm.Growing tomatoes with Basil does not appear to enhance tomato flavour but studies have shown that growing them around 10 inches apart can increase the yield of tomatoes by about 20%. One study shows that growing chili peppers near tomatoes in greenhouses increases tomato whitefly on the tomatoes.
"
Turnips and rutabagas,Brassica rapa and Brassica napobrassica,"Peas, broccoli","Hairy vetch, peas",,,"hedge mustard, knotweed","Turnips act as a trap crop for broccoli. See peas regarding their mutualism with turnips.
"
